date,portcalls,import,export
2026-03-01,5,161870,10340
2026-03-02,5,37832,15305
2026-03-03,2,39227,13595
2026-03-04,1,11506,1821
2026-03-05,3,69316,13281
2026-03-06,6,75448,34654
2026-03-07,1,20957,13281
2026-03-08,0,0,0
2026-03-09,3,23012,15147
2026-03-10,3,53264,1821
2026-03-11,1,25977,0
2026-03-12,4,132875,0
2026-03-13,3,129025,13281
2026-03-14,3,47745,3642
2026-03-15,5,79461,15288
2026-03-16,5,85063,38400
2026-03-17,1,33199,0
2026-03-18,3,56567,0
2026-03-19,5,94036,28483
2026-03-20,4,60918,38169
2026-03-21,2,29516,13281
2026-03-22,1,713,10850
2026-03-23,3,64733,3690
2026-03-24,2,14014,17299
2026-03-25,1,11506,1821
2026-03-26,10,216556,30266
2026-03-27,4,41300,20477
2026-03-28,4,123168,17485
2026-03-29,5,2825,51038
2026-03-30,2,23506,13007
2026-03-31,3,72973,0
2026-04-01,6,102094,23206
2026-04-02,6,151013,29205
2026-04-03,5,92547,50723
2026-04-04,6,37768,34207
2026-04-05,3,33020,0
2026-04-06,3,34631,13342
2026-04-07,5,252698,82434
2026-04-08,4,36734,12671
2026-04-09,3,22558,13493
2026-04-10,6,125996,39944
2026-04-11,1,20957,13281
2026-04-12,4,49813,20936
2026-04-13,4,117458,17943
2026-04-14,4,44234,7160
2026-04-15,6,54149,31556
2026-04-16,7,83240,22181
2026-04-17,2,10338,21167
2026-04-18,7,56496,38068
2026-04-19,1,26375,0
2026-04-20,3,40799,6422
2026-04-21,1,70721,0
2026-04-22,2,4464,0
2026-04-23,7,73907,26624
2026-04-24,3,98291,0
2026-04-25,10,155466,63497
2026-04-26,4,11506,62394
2026-04-27,6,141889,56460
2026-04-28,4,95239,19903
2026-04-29,6,39253,64735
2026-04-30,7,49287,38147
2026-05-01,11,100746,61185
2026-05-02,5,46075,20847
2026-05-03,4,89168,22812
2026-05-04,4,36066,33212
2026-05-05,7,186120,37477
2026-05-06,6,115828,46194
2026-05-07,5,15329,25170
2026-05-08,5,153764,0
2026-05-09,5,149047,10850
2026-05-10,7,168625,12572
2026-05-11,8,185205,2882
2026-05-12,6,71543,13114
2026-05-13,9,59362,31325
2026-05-14,5,79917,17228
2026-05-15,6,158552,38467
2026-05-16,9,119941,28470
2026-05-17,6,103796,61279
2026-05-18,9,110842,119861
2026-05-19,7,86445,138243
2026-05-20,6,30572,0
2026-05-21,12,168188,130302
2026-05-22,9,125185,66535
2026-05-23,7,50484,66960
2026-05-24,9,120898,66372
2026-05-25,6,86038,73101
2026-05-26,7,109843,29937
2026-05-27,7,37212,78369
2026-05-28,9,108243,81904
2026-05-29,7,162385,33787
2026-05-30,8,62531,75171
2026-05-31,8,147360,21863
2026-06-01,9,68350,84741
2026-06-02,14,116942,104718
2026-06-03,7,129895,57793
2026-06-04,9,167693,92871
2026-06-05,8,172022,16180
2026-06-06,5,64489,0
2026-06-07,13,129535,153851
2026-06-08,10,59946,121682
2026-06-09,5,110845,18141
2026-06-10,8,33755,123956
2026-06-11,4,36961,50067
2026-06-12,12,68095,72138
2026-06-13,10,133922,129932
2026-06-14,4,37256,23645
2026-06-15,9,98030,107557
2026-06-16,9,98987,50078
2026-06-17,11,76096,111756
2026-06-18,9,108656,45719
2026-06-19,7,98092,22730
2026-06-20,3,48366,13281
2026-06-21,4,73839,64533
2026-06-22,7,62673,61836
2026-06-23,7,45195,39220
2026-06-24,7,68803,31512
2026-06-25,7,147099,26563
2026-06-26,11,100420,34651
