date,portcalls,import,export
2026-03-01,6,38766,0
2026-03-02,6,18366,512
2026-03-03,4,16375,15267
2026-03-04,8,38073,22511
2026-03-05,8,147392,11514
2026-03-06,3,18405,766
2026-03-07,3,133398,0
2026-03-08,2,14543,0
2026-03-09,2,0,13825
2026-03-10,4,38807,0
2026-03-11,2,36238,0
2026-03-12,7,40050,11826
2026-03-13,7,168621,7387
2026-03-14,5,14722,8121
2026-03-15,5,93649,325
2026-03-16,5,74752,1516
2026-03-17,6,45887,0
2026-03-18,3,64585,1037
2026-03-19,5,14513,6384
2026-03-20,3,19029,1532
2026-03-21,1,0,0
2026-03-22,4,23987,1803
2026-03-23,6,26651,0
2026-03-24,3,1346,1705
2026-03-25,6,50379,10898
2026-03-26,5,21258,38739
2026-03-27,3,1346,39058
2026-03-28,5,64639,10089
2026-03-29,4,31007,0
2026-03-30,5,33456,2355
2026-03-31,5,46333,14285
2026-04-01,5,39319,9444
2026-04-02,5,69611,2892
2026-04-03,2,14394,0
2026-04-04,6,9902,102735
2026-04-05,3,17001,566
2026-04-06,6,25058,1037
2026-04-07,2,14494,0
2026-04-08,4,126686,0
2026-04-09,5,52986,1532
2026-04-10,1,7223,0
2026-04-11,3,48889,0
2026-04-12,7,46430,1294
2026-04-13,4,31947,6366
2026-04-14,5,28732,1618
2026-04-15,5,135066,3764
2026-04-16,3,6105,2531
2026-04-17,2,29738,0
2026-04-18,4,15963,0
2026-04-19,4,32875,1398
2026-04-20,6,49565,8474
2026-04-21,2,99461,0
2026-04-22,3,29468,4451
2026-04-23,4,18947,6842
2026-04-24,3,180168,1037
2026-04-25,8,61783,4113
2026-04-26,4,132494,0
2026-04-27,2,103060,0
2026-04-28,7,63609,4821
2026-04-29,5,35983,4377
2026-04-30,3,73107,38381
2026-05-01,4,31487,172
2026-05-02,4,162331,11341
2026-05-03,2,14461,0
2026-05-04,4,30887,8781
2026-05-05,4,37060,0
2026-05-06,2,92295,0
2026-05-07,6,48703,7502
2026-05-08,4,130155,8826
2026-05-09,1,0,0
2026-05-10,3,104752,405
2026-05-11,3,7777,39103
2026-05-12,6,40251,7995
2026-05-13,3,22682,0
2026-05-14,5,21692,0
2026-05-15,4,27914,4098
2026-05-16,8,73112,17624
2026-05-17,3,11283,0
2026-05-18,3,20651,36106
2026-05-19,7,39656,766
2026-05-20,4,25051,16242
2026-05-21,6,80274,668
2026-05-22,2,135394,0
2026-05-23,6,64998,5217
2026-05-24,4,93603,6483
2026-05-25,5,60395,2047
2026-05-26,4,62566,0
2026-05-27,6,162863,3764
2026-05-28,2,24246,19966
2026-05-29,5,9370,26094
2026-05-30,3,16532,3014
2026-05-31,5,179674,5581
2026-06-01,7,71482,59235
2026-06-02,3,98652,3923
2026-06-03,6,36553,17169
2026-06-04,1,0,317
2026-06-05,3,1346,1037
2026-06-06,3,20178,1037
2026-06-07,4,4435,40562
2026-06-08,5,101790,8058
2026-06-09,4,18562,1287
2026-06-10,4,15564,45144
2026-06-11,1,3215,0
2026-06-12,4,37272,2329
2026-06-13,5,157669,685
2026-06-14,3,23003,36291
2026-06-15,2,1281,2075
2026-06-16,4,219207,10089
2026-06-17,3,9901,27408
2026-06-18,5,114321,0
2026-06-19,4,20265,258
2026-06-20,3,33266,33040
2026-06-21,4,46634,20505
2026-06-22,3,18585,1037
2026-06-23,4,19315,1697
2026-06-24,6,26795,98996
2026-06-25,6,33206,17434
2026-06-26,4,32696,0
