date,portcalls,import,export
2026-03-01,3,158222,6196
2026-03-02,6,56434,34257
2026-03-03,5,80721,27874
2026-03-04,4,84722,17224
2026-03-05,4,48547,16383
2026-03-06,4,18774,19455
2026-03-07,1,3256,6196
2026-03-08,5,38082,18589
2026-03-09,3,8493,11027
2026-03-10,3,6513,17602
2026-03-11,5,102051,19050
2026-03-12,6,56715,32118
2026-03-13,4,6708,29772
2026-03-14,2,54816,1922
2026-03-15,3,120254,6196
2026-03-16,5,78341,20779
2026-03-17,4,22031,20395
2026-03-18,3,4325,7303
2026-03-19,6,212292,15335
2026-03-20,6,27801,23861
2026-03-21,4,19470,18430
2026-03-22,7,91633,24786
2026-03-23,5,14284,23421
2026-03-24,6,62104,18589
2026-03-25,5,123772,41319
2026-03-26,3,163913,15468
2026-03-27,8,156538,26563
2026-03-28,5,13027,70909
2026-03-29,4,60461,26522
2026-03-30,4,51355,18589
2026-03-31,3,3256,37417
2026-04-01,6,62331,29985
2026-04-02,5,81740,22896
2026-04-03,7,101631,23421
2026-04-04,7,52267,40866
2026-04-05,8,247006,38242
2026-04-06,7,95018,26217
2026-04-07,7,39924,35814
2026-04-08,9,339813,33483
2026-04-09,1,12260,1805
2026-04-10,4,63718,26296
2026-04-11,8,81717,36816
2026-04-12,5,11640,30567
2026-04-13,4,18373,7695
2026-04-14,12,69072,62671
2026-04-15,10,487572,34129
2026-04-16,6,35018,21110
2026-04-17,4,9172,29591
2026-04-18,5,60112,23438
2026-04-19,8,67936,26765
2026-04-20,4,50902,20493
2026-04-21,9,58431,80357
2026-04-22,7,189751,5523
2026-04-23,15,124892,70386
2026-04-24,14,253288,41815
2026-04-25,10,95966,62118
2026-04-26,13,163783,74129
2026-04-27,11,57469,102899
2026-04-28,13,139624,85402
2026-04-29,13,259321,45037
2026-04-30,9,101777,34246
2026-05-01,11,103983,86138
2026-05-02,13,151681,53109
2026-05-03,7,136628,61601
2026-05-04,12,98769,44448
2026-05-05,12,85508,41699
2026-05-06,9,93432,25842
2026-05-07,12,182568,38462
2026-05-08,6,112793,11182
2026-05-09,13,123372,70311
2026-05-10,10,355114,42219
2026-05-11,8,92110,20110
2026-05-12,12,300553,104516
2026-05-13,10,33363,142685
2026-05-14,10,71710,55332
2026-05-15,6,33533,32467
2026-05-16,12,235256,45120
2026-05-17,15,182183,35767
2026-05-18,9,218081,42743
2026-05-19,14,274865,42302
2026-05-20,10,48003,17226
2026-05-21,13,163964,50227
2026-05-22,8,10532,28019
2026-05-23,13,142395,142694
2026-05-24,12,134757,27847
2026-05-25,10,166602,81886
2026-05-26,11,84935,117393
2026-05-27,11,154635,48514
2026-05-28,7,27295,35210
2026-05-29,12,299220,84818
2026-05-30,12,398098,49481
2026-05-31,9,203418,35370
2026-06-01,9,114276,60553
2026-06-02,15,237631,40096
2026-06-03,5,34027,19993
2026-06-04,13,57046,62779
2026-06-05,9,113512,73340
2026-06-06,14,239761,55521
2026-06-07,10,36543,104418
2026-06-08,12,239276,32221
2026-06-09,12,149097,119621
2026-06-10,15,174143,99154
2026-06-11,11,118405,61775
2026-06-12,8,89675,21465
2026-06-13,12,212861,126461
2026-06-14,9,185802,43210
2026-06-15,6,10207,14747
2026-06-16,10,44980,57633
2026-06-17,7,40168,38898
2026-06-18,11,276465,121887
2026-06-19,10,183124,15832
2026-06-20,11,125856,75372
2026-06-21,11,89210,20879
2026-06-22,9,109578,66247
2026-06-23,14,203117,85667
2026-06-24,9,99458,40685
2026-06-25,11,108624,62461
2026-06-26,12,153599,60327
