date,portcalls,import,export
2026-03-01,8,194988,173538
2026-03-02,7,119300,75374
2026-03-03,8,298293,44855
2026-03-04,6,128053,17806
2026-03-05,6,172506,18542
2026-03-06,9,329592,140008
2026-03-07,3,92899,22014
2026-03-08,4,39548,21084
2026-03-09,2,39324,78423
2026-03-10,8,192403,145354
2026-03-11,2,40663,15611
2026-03-12,9,324686,173726
2026-03-13,3,9536,18933
2026-03-14,5,72087,95625
2026-03-15,3,245134,0
2026-03-16,4,69128,66944
2026-03-17,3,48608,44931
2026-03-18,3,12871,66069
2026-03-19,3,50270,28027
2026-03-20,8,115015,111732
2026-03-21,5,72834,103070
2026-03-22,2,14342,15485
2026-03-23,4,233791,15611
2026-03-24,3,0,69629
2026-03-25,6,87416,42321
2026-03-26,12,457927,105000
2026-03-27,4,54748,3709
2026-03-28,4,117334,8083
2026-03-29,5,136282,28120
2026-03-30,4,48103,28569
2026-03-31,4,66233,12651
2026-04-01,7,163180,144259
2026-04-02,5,48608,46385
2026-04-03,5,91613,98376
2026-04-04,6,125042,100497
2026-04-05,2,14587,4152
2026-04-06,2,0,86083
2026-04-07,2,34266,36828
2026-04-08,3,48155,78032
2026-04-09,0,0,0
2026-04-10,4,119633,33816
2026-04-11,8,301554,3361
2026-04-12,6,44177,210213
2026-04-13,10,489088,55880
2026-04-14,0,0,0
2026-04-15,2,26183,14719
2026-04-16,4,65130,93643
2026-04-17,5,199619,109496
2026-04-18,3,89413,69409
2026-04-19,5,92395,142812
2026-04-20,6,227006,48077
2026-04-21,3,49346,0
2026-04-22,6,236251,31112
2026-04-23,9,239684,112754
2026-04-24,3,81885,15611
2026-04-25,10,287109,38007
2026-04-26,5,170583,69844
2026-04-27,11,377749,43053
2026-04-28,7,120503,87158
2026-04-29,8,111476,145509
2026-04-30,2,26425,54304
2026-05-01,8,138111,197083
2026-05-02,6,52296,124681
2026-05-03,7,157529,146647
2026-05-04,10,109512,91195
2026-05-05,6,240454,7932
2026-05-06,7,116306,85204
2026-05-07,4,71373,24869
2026-05-08,5,245809,11409
2026-05-09,13,229715,122828
2026-05-10,5,248697,82036
2026-05-11,8,217346,34455
2026-05-12,8,338938,104861
2026-05-13,7,49727,61538
2026-05-14,7,234482,62582
2026-05-15,5,146774,92511
2026-05-16,7,144227,149344
2026-05-17,7,142769,78666
2026-05-18,7,69066,161893
2026-05-19,9,238257,11761
2026-05-20,10,368171,165409
2026-05-21,6,104952,92599
2026-05-22,7,115975,17088
2026-05-23,4,12004,53075
2026-05-24,8,285347,78680
2026-05-25,5,196411,103482
2026-05-26,7,247381,136992
2026-05-27,9,200701,99485
2026-05-28,6,12693,145887
2026-05-29,7,186146,20919
2026-05-30,11,217564,134285
2026-05-31,7,334832,32886
2026-06-01,7,20033,124856
2026-06-02,9,275995,53202
2026-06-03,12,304898,220036
2026-06-04,9,226598,85793
2026-06-05,10,159812,98119
2026-06-06,7,148365,48641
2026-06-07,5,34266,30707
2026-06-08,9,148253,102686
2026-06-09,14,367214,35211
2026-06-10,10,134869,73360
2026-06-11,9,206330,142193
2026-06-12,8,284982,120683
2026-06-13,9,232549,93362
2026-06-14,9,95043,30770
2026-06-15,6,176343,40371
2026-06-16,10,191223,75814
2026-06-17,12,265772,109428
2026-06-18,7,93123,105219
2026-06-19,8,330192,22608
2026-06-20,6,89328,151708
2026-06-21,9,68096,166526
2026-06-22,12,345946,92175
2026-06-23,7,58645,76067
2026-06-24,7,132863,51572
2026-06-25,6,114737,127510
2026-06-26,11,206743,98233
