date,portcalls,import,export
2026-03-01,0,0,0
2026-03-02,1,0,4598
2026-03-03,0,0,0
2026-03-04,0,0,0
2026-03-05,1,3149,0
2026-03-06,2,5947,0
2026-03-07,1,618,0
2026-03-08,1,2419,0
2026-03-09,1,1276,0
2026-03-10,1,4047,0
2026-03-11,1,1618,465
2026-03-12,0,0,0
2026-03-13,0,0,0
2026-03-14,1,1349,0
2026-03-15,1,0,1325
2026-03-16,1,1618,465
2026-03-17,2,2718,978
2026-03-18,0,0,0
2026-03-19,0,0,0
2026-03-20,0,0,0
2026-03-21,0,0,0
2026-03-22,0,0,0
2026-03-23,1,0,2439
2026-03-24,0,0,0
2026-03-25,2,1618,1336
2026-03-26,0,0,0
2026-03-27,0,0,0
2026-03-28,0,0,0
2026-03-29,0,0,0
2026-03-30,0,0,0
2026-03-31,0,0,0
2026-04-01,2,0,1993
2026-04-02,1,1618,465
2026-04-03,1,0,1736
2026-04-04,0,0,0
2026-04-05,1,0,626
2026-04-06,3,4665,465
2026-04-07,2,2718,978
2026-04-08,1,4113,0
2026-04-09,1,1571,0
2026-04-10,1,1618,465
2026-04-11,0,0,0
2026-04-12,1,1618,465
2026-04-13,1,0,1719
2026-04-14,2,224,4872
2026-04-15,0,0,0
2026-04-16,3,20374,4430
2026-04-17,1,0,0
2026-04-18,0,0,0
2026-04-19,1,0,1325
2026-04-20,2,2585,465
2026-04-21,0,0,0
2026-04-22,1,1738,0
2026-04-23,2,3528,0
2026-04-24,0,0,0
2026-04-25,0,0,0
2026-04-26,2,1618,3690
2026-04-27,1,1618,465
2026-04-28,1,2824,0
2026-04-29,1,3098,0
2026-04-30,0,0,0
2026-05-01,1,3453,0
2026-05-02,2,5017,465
2026-05-03,6,6187,915
2026-05-04,2,1291,761
2026-05-05,2,5090,429
2026-05-06,1,1971,0
2026-05-07,2,5132,465
2026-05-08,1,0,2512
2026-05-09,1,0,4872
2026-05-10,0,0,0
2026-05-11,2,4032,0
2026-05-12,5,3102,1200
2026-05-13,2,3236,931
2026-05-14,3,515,3758
2026-05-15,3,2718,978
2026-05-16,1,179,0
2026-05-17,5,5669,931
2026-05-18,3,6924,465
2026-05-19,1,0,449
2026-05-20,2,4087,0
2026-05-21,0,0,0
2026-05-22,2,4481,0
2026-05-23,0,0,0
2026-05-24,4,5193,465
2026-05-25,1,0,1564
2026-05-26,1,0,1615
2026-05-27,2,2307,895
2026-05-28,0,0,0
2026-05-29,1,0,0
2026-05-30,4,4510,1026
2026-05-31,5,3781,978
2026-06-01,2,4330,0
2026-06-02,1,775,0
2026-06-03,3,7886,465
2026-06-04,1,3399,0
2026-06-05,4,5775,429
2026-06-06,0,0,0
2026-06-07,2,0,2255
2026-06-08,3,0,2287
2026-06-09,2,2500,3746
2026-06-10,2,0,541
2026-06-11,4,3140,999
2026-06-12,5,16154,465
2026-06-13,4,4300,6339
2026-06-14,2,1618,996
2026-06-15,1,482,0
2026-06-16,3,7075,0
2026-06-17,0,0,0
2026-06-18,1,0,250
2026-06-19,3,1876,0
2026-06-20,2,2327,0
2026-06-21,1,2237,0
2026-06-22,0,0,0
2026-06-23,3,4469,978
2026-06-24,3,1618,5496
2026-06-25,3,1035,0
2026-06-26,3,4337,1444
