Date,Temperature,Rainfall,WindSpeed,temp_rolling7,rain_rolling7,wind_rolling7,temp_lag7,rain_lag7,wind_lag7,temp_lag14,rain_lag14,wind_lag14
2020-01-15,-2.209907170229857,-0.8537563498435579,-1.075253769757407,-2.1676832322943933,-0.9522201306959789,-0.6401837674041175,-1.8972971868856765,-0.8495812124150861,-0.687194312244308,-2.139517740591973,-0.41237021264891144,-0.4738791099433182
2020-01-16,-2.139343771455043,-0.8500805257997744,-0.9344409286756619,-2.170582085081842,-0.9649270316403848,-0.6451138363319937,-2.1195467399393326,-0.7724769945413688,-0.903337771102887,-1.8741150354434883,-0.7083854283101859,-0.647902373887617
2020-01-17,-2.131951415392921,-0.8437546890732633,-0.9671494232576419,-2.1690682397372867,-0.9714556047827149,-0.8380908200803002,-2.1428470963078605,-0.8038486663369945,0.2477647008183136,-1.933068507955356,-0.058794107030965846,-0.2998558459990199
2020-01-18,-1.9242934132841831,-0.8352062610644645,-0.7210041419966386,-2.136182365337467,-0.9697183878950563,-0.9730514569809179,-2.1533770650513295,-0.8457345496608542,0.12860869144755857,-2.0027815495948653,-0.6007901837849379,-0.748769361269344
2020-01-19,-1.7706220115079225,-0.7571591133441312,-0.653924009040374,-2.0852269752292223,-0.9548960050955176,-1.046474269228221,-2.1253718290314643,-0.8475296589461625,-0.1917269988607967,-1.9007898005724329,-0.6641670329051357,-0.34031348379498705
2020-01-20,-1.7876468315297835,-0.8448659847144072,-0.6311943772122187,-2.037106018957596,-0.9568153495601082,-0.9863450356971564,-2.1226833263735565,-0.8330833032691577,-1.0097468585409564,-1.8568548933012314,-0.7329321971327186,0.07867246379064897
2020-01-21,-1.7782383783598055,-0.853328928443118,-0.6644572530583002,-1.9758435967162062,-0.9567312906784473,-0.8968994994342552,-2.204682657439726,-0.8537698007474721,-1.227552959390755,-1.7902800593239498,-0.8201715845856224,-0.5398306016929092
2020-01-22,-1.6944583429890756,-0.853499897003294,-0.31575143793854504,-1.9017295937838008,-0.9566892612376169,-0.7762888845915635,-2.2102837046436976,-0.8536843193529335,-1.0751441101956034,-1.898548223670842,-0.8509619566278238,-0.6872515832508183
2020-01-23,-1.5062892795895715,-0.8540982869639099,-0.5114480241663252,-1.8107056162579502,-0.9573477224772939,-0.7091166954492473,-2.139710509873635,-0.8500086193877786,-0.9343737549389906,-2.1209126523087605,-0.7738149688998638,-0.9033951276402338
2020-01-24,-1.6758654474388872,-0.8541837712439979,-0.5153286930150344,-1.745127124310805,-0.9590569197377321,-0.6373665851596166,-2.132317127564391,-0.8436829961919304,-0.9670723807663139,-2.144225052085316,-0.8052040426206635,0.24770779978749938
2020-01-25,-1.6756414366491252,-0.8541837712439979,-1.1639547720136243,-1.7093746065989546,-0.9621670983591853,-0.7077081043269966,-1.9246302972410643,-0.8351348567380815,-0.721001366065778,-2.1547604635227975,-0.8471131601225487,0.12855174326512928
2020-01-26,-1.58088487258009,-0.8539273184037338,-1.4217420598207562,-1.6820931809215318,-0.9780262073658751,-0.8296392733467975,-1.7709375619640397,-0.7570903435244408,-0.653941472419911,-2.126740752252899,-0.8489092651583438,-0.1917840738043121
2020-01-27,-1.7170834327549682,-0.8539273184037338,-0.857381932965573,-1.6719471961654664,-0.979511247608551,-0.8655583469641833,-1.7879647454641194,-0.8447942543209308,-0.631218698539907,-2.124050859970988,-0.8344548960607547,-1.009804257185792
2020-01-28,-1.6557044763603688,-0.8453788903949351,-0.6206611331942931,-1.6543286131128692,-0.978208334942807,-0.8586034282980722,-1.7785549861614416,-0.8532569123802412,-0.6644715383643036,-2.2060925745692543,-0.8551528683780123,-1.2276104442243567
